name,type,tier,ingest_method,official_url,url_confidence,notes
CSIR,bursary,1_official,scrape,https://www.csir.co.za,high,Incl. CSIR-Sasol Foundation joint bursary.
NRF,bursary,1_official,scrape,https://www.nrf.ac.za,high,Postgraduate research funding.
Mandela Rhodes Foundation,bursary,1_official,scrape,https://www.mandelarhodes.org,high,Scholarship; you already track this (closed record).
Deloitte,bursary,1_official,scrape,https://www.deloitte.com/za,medium,Accounting/CA bursary; confirm ZA careers page.
PwC,bursary,1_official,scrape,https://www.pwc.co.za,high,CA bursary.
KPMG,bursary,1_official,scrape,https://kpmg.com/za,medium,CA bursary; confirm ZA page.
EY,bursary,1_official,scrape,https://www.ey.com,medium,CA bursary; confirm ZA page.
BDO,bursary,1_official,scrape,https://www.bdo.co.za,medium,CA bursary.
University of Pretoria,bursary,1_official,scrape,https://www.up.ac.za,high,Financial aid / bursary page.
University of Johannesburg,bursary,1_official,scrape,https://www.uj.ac.za,high,Financial aid page.
University of the Western Cape,bursary,1_official,scrape,https://www.uwc.ac.za,high,Financial aid page.
University of KwaZulu-Natal,bursary,1_official,scrape,https://www.ukzn.ac.za,high,Financial aid page.
Wits University,bursary,1_official,scrape,https://www.wits.ac.za,high,Financial aid page.
University of Cape Town,bursary,1_official,scrape,https://www.uct.ac.za,high,Postgraduate financial aid bursary.
Stellenbosch University,bursary,1_official,scrape,https://www.sun.ac.za,high,Bursaries & loans page.
North-West University,bursary,1_official,scrape,https://www.nwu.ac.za,high,Financial support page.
University of the Free State,bursary,1_official,scrape,https://www.ufs.ac.za,high,Bursaries page.
Rhodes University,bursary,1_official,scrape,https://www.ru.ac.za,high,Financial aid page.
MERSETA,learnership,1_official,scrape,https://www.merseta.org.za,high,Manufacturing & engineering. High volume; expect PDFs.
Services SETA,learnership,1_official,scrape,https://www.servicesseta.org.za,high,Largest SETA; office-based careers.
SASSETA,learnership,1_official,scrape,https://www.sasseta.org.za,high,Safety & security.
CETA,learnership,1_official,scrape,https://www.ceta.org.za,high,Construction.
MICT SETA,learnership,1_official,scrape,https://www.mict.org.za,high,IT / media / telecoms.
HWSETA,learnership,1_official,scrape,https://www.hwseta.org.za,high,Health & social development.
BANKSETA,learnership,1_official,scrape,https://www.bankseta.org.za,high,Banking (Kuyasa/Letsema programmes).
AGRISETA,learnership,1_official,scrape,https://www.agriseta.co.za,high,Agriculture.
NSTF bursary directory,bursary,2_discovery,discovery,https://www.nstf.org.za,high,DISCOVERY ONLY - most comprehensive provider directory. Never publish from here; use to find names then verify at official source.
allbursaries.co.za,bursary,2_discovery,discovery,https://allbursaries.co.za,high,DISCOVERY ONLY - large deadline-sorted directory.
zabursaries.co.za,bursary,2_discovery,discovery,https://www.zabursaries.co.za,high,DISCOVERY ONLY - broad listing site.
bursaries-southafrica.co.za,bursary,2_discovery,discovery,https://bursaries-southafrica.co.za,high,DISCOVERY ONLY.
fundiconnect.co.za,bursary,2_discovery,discovery,https://fundiconnect.co.za,high,DISCOVERY ONLY.
studentroom.co.za,bursary,2_discovery,discovery,https://www.studentroom.co.za,medium,DISCOVERY ONLY.
startcareer.co.za,bursary,2_discovery,discovery,https://startcareer.co.za,medium,DISCOVERY ONLY.
eduskills.co.za,learnership,2_discovery,discovery,https://www.eduskills.co.za,medium,DISCOVERY ONLY - SETA opportunities.
edupstairs.org,learnership,2_discovery,discovery,https://www.edupstairs.org,medium,DISCOVERY ONLY.
setacareers.co.za,learnership,2_discovery,discovery,https://www.setacareers.co.za,medium,DISCOVERY ONLY.
navyblue.co.za SETA index,learnership,2_discovery,discovery,https://www.navyblue.co.za/seta,medium,DISCOVERY ONLY - directory of all 21 SETAs with links.
